category_english,category_portuguese,total_orders,total_revenue,avg_order_value,avg_review_score,total_items_sold,revenue_pct_of_total
health_beauty,beleza_saude,8608,1232074.12,143.13,4.23,9453,9.32
watches_gifts,relogios_presentes,5472,1163585.35,212.64,4.13,5856,8.80
bed_bath_table,cama_mesa_banho,9167,1022202.47,111.51,4.01,10946,7.73
sports_leisure,esporte_lazer,7491,956122.87,127.64,4.23,8425,7.23
computers_accessories,informatica_acessorios,6501,887181.15,136.47,4.08,7634,6.71
furniture_decor,moveis_decoracao,6213,715568.48,115.17,4.07,8172,5.41
housewares,utilidades_domesticas,5688,617564.75,108.57,4.20,6807,4.67
cool_stuff,cool_stuff,3530,611226.51,173.15,4.23,3729,4.62
auto,automotivo,3793,578997.00,152.65,4.15,4141,4.38
garden_tools,ferramentas_jardim,3414,470924.13,137.94,4.19,4261,3.56
toys,brinquedos,3779,470696.59,124.56,4.24,4032,3.56
baby,bebes,2763,399829.20,144.71,4.12,2983,3.02
perfumery,perfumaria,3073,390742.63,127.15,4.27,3340,2.96
telephony,telefonia,4076,310120.25,76.08,4.06,4423,2.35
moveis_escritorio,moveis_escritorio,1246,267352.34,214.57,3.65,1667,2.02
stationery,papelaria,2247,224241.46,99.80,4.31,2467,1.70
pcs,pcs,176,217294.14,1234.63,4.24,198,1.64
pet_shop,pet_shop,1682,211970.35,126.02,4.28,1930,1.60
instrumentos_musicais,instrumentos_musicais,607,184261.01,303.56,4.25,651,1.39
eletroportateis,eletroportateis,606,182324.22,300.87,4.26,661,1.38
unknown,unknown,1359,170695.52,125.60,4.03,1539,1.29
electronics,eletronicos,2507,156065.51,62.25,4.13,2734,1.18
fashion_bags_accessories,fashion_bolsas_e_acessorios,1810,149208.91,82.44,4.24,1984,1.13
consoles_games,consoles_games,1014,147954.32,145.91,4.19,1089,1.12
construcao_ferramentas_construcao,construcao_ferramentas_construcao,728,142850.04,196.22,4.13,918,1.08
malas_acessorios,malas_acessorios,1008,137780.48,136.69,4.38,1069,1.04
eletrodomesticos_2,eletrodomesticos_2,226,107804.95,477.01,4.16,230,0.82
casa_construcao,casa_construcao,466,80984.86,173.79,4.05,590,0.61
appliances,eletrodomesticos,747,78832.48,105.53,4.21,754,0.60
agro_industria_e_comercio,agro_industria_e_comercio,177,70566.10,398.68,4.11,206,0.53
moveis_sala,moveis_sala,409,67850.19,165.89,4.09,501,0.51
casa_conforto,casa_conforto,370,58529.00,158.19,3.91,440,0.44
telefonia_fixa,telefonia_fixa,212,55394.69,261.30,3.97,257,0.42
climatizacao,climatizacao,245,53313.65,217.61,4.13,289,0.40
audio,audio,344,51197.70,148.83,3.85,360,0.39
portateis_casa_forno_e_cafe,portateis_casa_forno_e_cafe,72,46589.56,647.08,4.43,73,0.35
moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_cozinha_area_de_servico_jantar_e_jardim,239,45698.43,191.21,4.14,278,0.35
livros_interesse_geral,livros_interesse_geral,493,45256.13,91.80,4.54,536,0.34
construcao_ferramentas_iluminacao,construcao_ferramentas_iluminacao,231,40822.23,176.72,4.21,295,0.31
industria_comercio_e_negocios,industria_comercio_e_negocios,229,38226.80,166.93,4.24,262,0.29
construction_tools_safety,construcao_ferramentas_seguranca,154,38129.43,247.59,4.02,179,0.29
alimentos,alimentos,435,28354.39,65.18,4.32,494,0.21
market_place,market_place,268,27615.70,103.04,4.12,304,0.21
construcao_ferramentas_jardim,construcao_ferramentas_jardim,183,23879.94,130.49,4.28,229,0.18
artes,artes,191,23233.13,121.64,4.13,195,0.18
fashion_calcados,fashion_calcados,233,22932.66,98.42,4.28,255,0.17
bebidas,bebidas,284,22037.14,77.60,4.26,367,0.17
sinalizacao_e_seguranca,sinalizacao_e_seguranca,138,21394.95,155.04,4.12,198,0.16
moveis_quarto,moveis_quarto,89,18807.60,211.32,4.29,104,0.14
books_technical,livros_tecnicos,255,18786.19,73.67,4.43,265,0.14
construcao_ferramentas_ferramentas,construcao_ferramentas_ferramentas,97,15903.95,163.96,4.43,103,0.12
alimentos_bebidas,alimentos_bebidas,218,14873.57,68.23,4.44,267,0.11
fashion_roupa_masculina,fashion_roupa_masculina,106,10452.33,98.61,3.82,125,0.08
fashion_underwear_e_moda_praia,fashion_underwear_e_moda_praia,117,9305.95,79.54,4.01,127,0.07
artigos_de_natal,artigos_de_natal,125,8753.84,70.03,4.11,151,0.07
tablets_impressao_imagem,tablets_impressao_imagem,77,7382.41,95.88,4.17,82,0.06
cine_foto,cine_foto,63,6898.35,109.50,4.33,73,0.05
musica,musica,37,6138.88,165.92,4.30,38,0.05
dvds_blu_ray,dvds_blu_ray,56,4637.48,82.81,4.20,63,0.04
artigos_de_festas,artigos_de_festas,38,4565.18,120.14,4.08,43,0.03
livros_importados,livros_importados,49,4398.87,89.77,4.51,56,0.03
moveis_colchao_e_estofado,moveis_colchao_e_estofado,37,4323.38,116.85,3.89,37,0.03
portateis_cozinha_e_preparadores_de_alimentos,portateis_cozinha_e_preparadores_de_alimentos,13,3933.63,302.59,3.62,14,0.03
fashion_roupa_feminina,fashion_roupa_feminina,36,2699.93,75.00,3.92,46,0.02
la_cuisine,la_cuisine,12,2129.99,177.50,4.55,14,0.02
fashion_esporte,fashion_esporte,24,1969.63,82.07,4.54,27,0.01
artes_e_artesanato,artes_e_artesanato,22,1804.92,82.04,4.14,24,0.01
fraldas_higiene,fraldas_higiene,25,1500.79,60.03,3.96,37,0.01
flores,flores,29,1238.68,42.71,4.39,40,0.01
pc_gamer,pc_gamer,6,1176.96,196.16,3.83,7,0.01
casa_conforto_2,casa_conforto_2,22,734.47,33.39,3.90,28,0.01
cds_dvds_musicais,cds_dvds_musicais,12,730.00,60.83,4.67,14,0.01
fashion_roupa_infanto_juvenil,fashion_roupa_infanto_juvenil,7,589.93,84.28,5.00,9,0.00
seguros_e_servicos,seguros_e_servicos,2,283.29,141.65,2.50,2,0.00
