year,month,month_name,year_month,total_orders,total_revenue,total_freight,avg_order_value,unique_customers
2016,9,September,2016-09,1,134.97,8.49,134.97,1
2016,10,October,2016-10,265,40325.11,6165.55,152.17,265
2016,12,December,2016-12,1,10.90,8.72,10.90,1
2017,1,January,2017-01,750,111798.36,15684.01,149.06,750
2017,2,February,2017-02,1653,234223.40,37015.92,141.70,1653
2017,3,March,2017-03,2546,359198.85,55132.10,141.08,2546
2017,4,April,2017-04,2303,340669.68,50142.72,147.92,2303
2017,5,May,2017-05,3546,489338.25,77513.15,138.00,3546
2017,6,June,2017-06,3135,421923.37,68127.00,134.58,3135
2017,7,July,2017-07,3872,481604.52,84694.56,124.38,3872
2017,8,August,2017-08,4193,554699.70,91132.66,132.29,4193
2017,9,September,2017-09,4150,607399.67,93677.82,146.36,4150
2017,10,October,2017-10,4478,648247.65,102869.36,144.76,4478
2017,11,November,2017-11,7289,987765.37,165598.83,135.51,7289
2017,12,December,2017-12,5513,726033.19,117045.10,131.69,5513
2018,1,January,2018-01,7069,924645.00,153242.46,130.80,7069
2018,2,February,2018-02,6555,826437.13,139731.28,126.08,6555
2018,3,March,2018-03,7003,953356.25,167241.99,136.14,7003
2018,4,April,2018-04,6798,973534.09,159344.84,143.21,6798
2018,5,May,2018-05,6749,977544.69,151229.83,144.84,6749
2018,6,June,2018-06,6099,856077.86,155900.43,140.36,6099
2018,7,July,2018-07,6159,867953.46,159853.82,140.92,6159
2018,8,August,2018-08,6351,838576.64,146915.00,132.04,6351
