seller_id,seller_city,seller_state,total_orders,total_revenue,avg_review_score,avg_delivery_days,late_orders,late_delivery_pct
6560211a19b47992c3666cc44a7e94c0,Sao Paulo,SP,1809,121661.09,3.99,9.6,116,6.4
4a3ca9315b744ce9f8e9374361493884,Ibitinga,SP,1726,198108.39,3.89,14.6,194,11.2
cc419e0650a3c5ba77189a1882b7556a,Santo Andre,SP,1648,102160.89,4.15,11.6,101,6.1
1f50f920176fa81dab994f9023523100,Sao Jose Do Rio Preto,SP,1384,107302.29,4.16,15.9,148,10.7
da8622b14eb17ae2831f4ac5b9dab84a,Piracicaba,SP,1295,160976.27,4.19,11.2,100,7.7
955fee9216a65b617aa5c0531780ce60,Sao Paulo,SP,1255,131943.40,4.21,10.8,98,7.8
7a67c85e85bb2ce8582c35f2203ad736,Sao Paulo,SP,1135,140601.13,4.30,11.2,68,6.0
ea8482cd71df3c1969d7b9473ff13abc,Sao Paulo,SP,1122,36495.54,4.04,13.3,118,10.5
4869f7a5dfa277a7dca6462dcf3b52b2,Guariba,SP,1117,227948.34,4.16,15.1,130,11.6
3d871de0142ce09b7081e2b9d1733cb1,Campo Limpo Paulista,SP,1052,93580.90,4.20,13.6,63,6.0
7c67e1448b00f6e969d365cea6b010ab,Itaquaquecetuba,SP,966,185389.26,3.50,22.4,98,10.1
8b321bb669392f5163d04c59e235e066,Sao Paulo,SP,926,17494.39,4.11,12.7,97,10.5
1025f0e2d44d7041d6cf58b6550e0bfa,Sao Paulo,SP,898,138739.25,4.02,12.4,92,10.2
620c87c171fb2a6dd6e8bb4dec959fc6,Petropolis,RJ,720,112623.70,4.31,12.9,72,10.0
a1043bafd471dff536d0c462352beb48,Ilicinea,MG,699,99676.47,4.28,13.7,40,5.7
cca3071e3e9bb7d12640c9fbe2301306,Ibitinga,SP,675,61668.82,3.95,14.3,39,5.8
f8db351d8c4c4c22c6835c19a46f01b0,Salto,SP,652,50058.27,4.29,9.9,34,5.2
e9779976487b77c6d4ac45f75ec7afe9,Praia Grande,SP,641,42784.33,4.27,9.9,47,7.3
fa1c13f2614d7b5c4749cbc52fecda94,Sumare,SP,571,190179.81,4.39,13.4,59,10.3
7d13fca15225358621be4086e1eb0964,Ribeirao Preto,SP,555,114174.13,4.05,15.8,68,12.3
128639473a139ac0f3e5f5ade55873a5,Maringa,PR,524,11893.73,4.22,14.4,33,6.3
d91fb3b7d041e83b64a00a3edfb37e4f,Praia Grande,SP,524,39926.39,4.14,11.3,33,6.3
391fc6631aebcf3004804e51b40bcf1e,Ibitinga,SP,505,39432.08,4.06,14.4,52,10.3
46dc3b2cc0980fb8ec44634e21d2718e,Rio De Janeiro,RJ,501,122456.10,4.29,11.9,33,6.6
85d9eb9ddc5d00ca9336a2219c97bb13,Belo Horizonte,MG,498,15095.49,4.23,14.7,18,3.6
d2374cbcbb3ca4ab1086534108cc3ab7,Ibitinga,SP,497,20628.18,3.83,14.8,30,6.0
53e4c6e0f4312d4d2107a8c9cddf45cd,Pedreira,SP,453,29605.20,4.14,12.1,25,5.5
4e922959ae960d389249c378d1c939f5,Jacarei,SP,412,45408.41,3.96,14.5,44,10.7
16090f2ca825584b5a147ab24aa30c86,Atibaia,SP,397,25551.16,4.09,9.2,43,10.8
1835b56ce799e6a4dc4eddc053f04066,Ibitinga,SP,394,33358.77,3.72,13.4,49,12.4
9f505651f4a6abe901a56cdc21508025,Sao Paulo,SP,392,25978.36,4.37,8.1,20,5.1
06a2c3af7b3aee5d69171b0e14f0ee87,Sao Luis,MA,388,36030.99,4.02,17.8,90,23.2
dbc22125167c298ef99da25668e1011f,Borda Da Mata,MG,387,32414.76,4.35,11.5,10,2.6
2138ccb85b11a4ec1e37afbd1c8eda1f,Sao Paulo,SP,380,11907.75,3.98,11.4,21,5.5
8581055ce74af1daba164fdbd55a40de,Guarulhos,SP,378,63902.92,4.31,13.1,38,10.1
1900267e848ceeba8fa32d80c1a5f5a8,Ibitinga,SP,377,24558.05,3.94,13.5,42,11.1
218d46b86c1881d022bce9c68a7d4b15,Ribeirao Preto,SP,376,53818.41,4.19,14.0,36,9.6
8160255418d5aaa7dbdc9f4c64ebda44,Ibitinga,SP,368,45897.60,3.99,16.3,62,16.8
4d6d651bd7684af3fffabd5f08d12e5a,Jau,SP,358,42605.50,4.25,13.0,17,4.7
53243585a1d6dc2643021fd1853d8905,Lauro De Freitas,BA,348,217940.44,4.19,13.4,15,4.3
c826c40d7b19f62a09e2d7c5e7295ee2,Guarulhos,SP,345,44554.95,4.13,13.3,33,9.6
de722cd6dad950a92b7d4f82673f8833,Recife,PE,337,55327.21,4.30,12.7,15,4.5
7299e27ed73d2ad986de7f7c77d919fa,Araguari,MG,334,34372.24,4.43,11.3,16,4.8
92eb0f42c21942b6552362b9b114707d,Sao Paulo,SP,330,6386.15,4.03,13.7,26,7.9
7ddcbb64b5bc1ef36ca8c151f6ec77df,Sao Paulo,SP,325,54655.56,4.03,12.7,28,8.6
b2ba3715d723d245138f291a6fe42594,Sao Paulo,SP,323,49366.59,4.21,14.1,29,9.0
5dceca129747e92ff8ef7a997dc4f8ca,Santa Barbara D´Oeste,SP,321,110342.62,4.01,11.6,20,6.2
7e93a43ef30c4f03f38b393420bc753a,Barueri,SP,318,165556.29,4.38,11.3,18,5.7
7142540dd4c91e2237acb7e911c4eba2,Penapolis,SP,316,37505.73,4.05,14.7,26,8.2
ef506c96320abeedfb894c34db06f478,Sao Paulo,SP,311,9460.62,3.97,13.5,27,8.7
70a12e78e608ac31179aea7f8422044b,Jacarei,SP,309,29871.00,3.80,14.8,34,11.0
77530e9772f57a62c906e1c21538ab82,Curitiba,PR,305,45486.50,4.19,15.1,36,11.8
fa40cc5b934574b62717c68f3d678b6d,Sao Paulo,SP,302,15978.38,4.49,11.3,19,6.3
87142160b41353c4e5fca2360caf6f92,Porto Alegre,RS,302,30683.03,4.41,11.0,17,5.6
897060da8b9a21f655304d50fd935913,Ribeirao Preto,SP,302,23408.88,3.72,15.0,36,11.9
855668e0971d4dfd7bef1b6a4133b41b,Itatiba,SP,298,30824.21,3.87,16.3,42,14.1
fe2032dab1a61af8794248c8196565c9,Campinas,SP,292,66112.51,4.40,10.8,26,8.9
c3cfdc648177fdbbbb35635a37472c53,Curitiba,PR,273,42455.58,4.51,9.8,7,2.6
37be5a7c751166fbc5f8ccba4119e043,Sao Paulo,SP,269,54735.55,4.33,10.6,7,2.6
634964b17796e64304cadf1ad3050fb7,Rio De Janeiro,RJ,262,39217.98,4.08,14.7,27,10.3
